project_name,address,city,zip,latitude,longitude,total_units,affordable_units,family_units_estimate,status,expected_year,source
FAULKNER PLACE,13319 SE POWELL BLVD,Portland,97236,45.49757,-122.52547,16.0,16.0,,in_service,1994.0,OAHI (data.oregon.gov p9yn-ftai)
4 SCATTERED SITES - SABIN,3958 NE GARFIELD AVE,Portland,97212,45.55164,-122.66263,4.0,4.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
Fifth Avenue Court,221 NW Fifth  Avenue,Portland,97209-4125,45.52485,-122.67547,96.0,78.0,9.0,in_service,1999.0,OAHI (data.oregon.gov p9yn-ftai)
Shaver Green Apartments,375 NE Shaver Street,Portland,97212,45.55206,-122.66191,85.0,84.0,26.0,in_service,2009.0,OAHI (data.oregon.gov p9yn-ftai)
1724 NE ALBERTA ST,1724 NE ALBERTA ST,Portland,97211,45.55908,-122.64718,4.0,4.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
EMERSON PLAZA,5314 NE 13TH AVE,Portland,97211,45.56204,-122.65207,16.0,16.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
Gladstone Square - Multnomah Manor,9110 NE HASSALO ST,Portland,97220,45.53095,-122.56919,54.0,102.0,18.0,in_service,1964.0,OAHI (data.oregon.gov p9yn-ftai)
Nesika Illahee (fka Holman 42),6300 NE 42ND AVE,Portland,97218,45.56908,-122.62026,59.0,59.0,16.0,in_service,2019.0,OAHI (data.oregon.gov p9yn-ftai)
WOODY GUTHRIE PLACE,5800 SE 91ST AVE,Portland,97266,45.48062,-122.56977,65.0,65.0,12.0,in_service,2018.0,OAHI (data.oregon.gov p9yn-ftai)
ALBERTA SIMMONS PLAZA,6611 NE MARTIN LUTHER KING JR BLVD,Portland,97211,45.57127,-122.66137,74.0,74.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
The Terrace at Columbia Knoll,8200 NE Sandy Blvd,Portland,97201,45.55203,-122.57723,118.0,118.0,71.0,in_service,2005.0,OAHI (data.oregon.gov p9yn-ftai)
FAB 4 SCATTERED SITE,4006 NE 8TH AVE,Portland,97212,45.55219,-122.65764,5.0,5.0,,in_service,2004.0,OAHI (data.oregon.gov p9yn-ftai)
MARLA MANOR,644 SE 148TH AVE,Portland,97233,45.51778,-122.51074,25.0,25.0,6.0,in_service,,OAHI (data.oregon.gov p9yn-ftai)
COLUMBIA TERRACE RETIREMENT COMMUNITY,16932 SE DIVISION ST,Portland,97236,45.50396,-122.48864,61.0,61.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
1725 SE MORRISON ST,1725 SE MORRISON ST,Portland,97214,45.5172,-122.64796,7.0,7.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
LETTY OWINGS CENTER,2545 NE FLANDERS ST,Portland,97232,45.52568,-122.63948,56.0,56.0,,in_service,1915.0,OAHI (data.oregon.gov p9yn-ftai)
Argyle Gardens (fka LISAH),2310 N HUNT ST & 2250-2344 N COLUMBIA BLVD,Portland,97217,45.58635,-122.68943,72.0,71.0,,in_service,2020.0,OAHI (data.oregon.gov p9yn-ftai)
124TH & ASH,12373 SE ASH ST,Portland,97233,45.52125,-122.53562,175.0,175.0,15.0,in_service,,OAHI (data.oregon.gov p9yn-ftai)
Grand Oak Trio Grand Oaks Apartments,418 SE Grand Avenue,Portland,97214,45.51973,-122.66074,42.0,144.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
CENTRAL CHALET,9020 N CENTRAL ST,Portland,97203,45.59347,-122.75562,20.0,20.0,,in_service,1973.0,OAHI (data.oregon.gov p9yn-ftai)
