project_name,address,city,zip,latitude,longitude,total_units,affordable_units,family_units_estimate,status,expected_year,source
4618 NE 11TH AVE,4618 NE 11TH AVE,Portland,97211,45.5567348817343,-122.654347860468,1.0,1.0,,in_service,1913.0,Metro RLIS Affordable Housing
114 SE 22ND AVE,114 SE 22ND AVE,Portland,97214,45.52193483261,-122.64317602087,1.0,1.0,,in_service,1910.0,Metro RLIS Affordable Housing
1227 NE ROSELAWN ST,1227 NE ROSELAWN ST,Portland,97211,45.5613977839401,-122.65294698762,1.0,1.0,1.0,in_service,2006.0,Metro RLIS Affordable Housing
GRAND AVENUE DUPLEXES,4916 NE 10TH AVE,Portland,97211,45.5586478995221,-122.655290690257,6.0,6.0,,in_service,2001.0,Metro RLIS Affordable Housing
KING DISHMAN COURT,1942 NE 6TH AVE,Portland,97212,45.5421367696749,-122.663881624503,14.0,14.0,10.0,in_service,1974.0,Metro RLIS Affordable Housing
527 SE MORRISON ST,527 SE MORRISON ST,Portland,97214,45.5174546173716,-122.660023709488,84.0,84.0,,in_service,1911.0,Metro RLIS Affordable Housing
TYRON MEWS APARTMENTS,8455 SW 30TH AVE,Portland,97219,45.4635291440659,-122.707789677001,20.0,19.0,,in_service,1992.0,Metro RLIS Affordable Housing
4849 SE 86TH AVE,4849 SE 86TH AVE,Portland,97266,45.4870616226373,-122.575186368112,1.0,1.0,,in_service,1963.0,Metro RLIS Affordable Housing
10408 SE YUKON ST,10408 SE YUKON ST,Portland,97266,45.4788251929178,-122.555672050234,1.0,1.0,,in_service,,Metro RLIS Affordable Housing
6637 SE 56TH AVE,6637 SE 56TH AVE,Portland,97206,45.4745022551225,-122.606213257445,1.0,1.0,,in_service,1926.0,Metro RLIS Affordable Housing
10418 SE SCHILLER ST,10418 SE SCHILLER ST,Portland,97266,45.4869451042516,-122.555222911195,1.0,1.0,,in_service,1916.0,Metro RLIS Affordable Housing
LA HACIENDA APARTMENTS,7906 SE 72ND AVE,Portland,97206,45.4662056865875,-122.588893781563,38.0,38.0,,in_service,1970.0,Metro RLIS Affordable Housing
TRENTON TERRACE,4720 N TRENTON ST,Portland,97203,45.5883551455152,-122.716255491424,66.0,65.0,,in_service,2007.0,Metro RLIS Affordable Housing
4618 NE 26TH AVE,4618 NE 26TH AVE,Portland,97211,45.5566625786235,-122.63861335364,1.0,1.0,,in_service,2007.0,Metro RLIS Affordable Housing
8240 N INTERSTATE AVE,8240 N INTERSTATE AVE,Portland,97217,45.582665691386,-122.681935789003,1.0,1.0,,in_service,1926.0,Metro RLIS Affordable Housing
4006 NE 11TH AVE,4006 NE 11TH AVE,Portland,97211,45.5521821776239,-122.654395545277,1.0,1.0,1.0,in_service,1910.0,Metro RLIS Affordable Housing
515 NE MORGAN ST,515 NE MORGAN ST,Portland,97211,45.5746326408366,-122.659932713507,1.0,1.0,,in_service,1928.0,Metro RLIS Affordable Housing
2644 SE POWELL BLVD,2644 SE POWELL BLVD,Portland,97202,45.4975902356319,-122.638623486059,8.0,8.0,,in_service,1890.0,Metro RLIS Affordable Housing
6705 SE 56TH AVE,6705 SE 56TH AVE,Portland,97206,45.4742844139372,-122.606165252638,1.0,1.0,,in_service,2009.0,Metro RLIS Affordable Housing
353 NE HOLMAN ST,353 NE HOLMAN ST,Portland,97211,45.5678437207999,-122.66177284436,1.0,1.0,1.0,in_service,1929.0,Metro RLIS Affordable Housing
4523 NE 96TH AVE,4523 NE 96TH AVE,Portland,97220,45.5558063819831,-122.564155335853,1.0,1.0,1.0,in_service,1924.0,Metro RLIS Affordable Housing
5311 NE 26TH AVE,5311 NE 26TH AVE,Portland,97211,45.5617580381769,-122.639074714252,1.0,1.0,,in_service,1929.0,Metro RLIS Affordable Housing
5535 NE 23RD AVE,5535 NE 23RD AVE,Portland,97211,45.5632428173721,-122.642717711433,1.0,1.0,,in_service,1973.0,Metro RLIS Affordable Housing
3717 NE 11TH AVE,3717 NE 11TH AVE,Portland,97212,45.5497816038668,-122.654939123124,1.0,1.0,,in_service,1989.0,Metro RLIS Affordable Housing
5620 SE DUKE ST,5620 SE DUKE ST,Portland,97206,45.4755741386621,-122.605461058194,1.0,1.0,,in_service,1993.0,Metro RLIS Affordable Housing
VISTA DE ROSAS,6939 NE KILLINGSWORTH ST,Portland,97218,45.5621924703803,-122.591381951078,26.0,26.0,,in_service,1978.0,Metro RLIS Affordable Housing
6766 NE KILLINGSWORTH ST,6736 NE KILLINGSWORTH ST,Portland,97218,45.5624337328896,-122.593244428393,12.0,12.0,,in_service,2000.0,Metro RLIS Affordable Housing
5429 SE DUKE ST,5429 SE DUKE ST,Portland,97206,45.4760424123,-122.606860034725,1.0,1.0,,in_service,1937.0,Metro RLIS Affordable Housing
5419 SE DUKE ST,5419 SE DUKE ST,Portland,97206,45.4760423547535,-122.607115822512,1.0,1.0,,in_service,1928.0,Metro RLIS Affordable Housing
5411 SE DUKE ST,5411 SE DUKE ST,Portland,97206,45.4760422776292,-122.607398048519,1.0,1.0,,in_service,1992.0,Metro RLIS Affordable Housing
5317 SE DUKE ST,5317 SE DUKE ST,Portland,97206,45.4760243335589,-122.607705976577,1.0,1.0,,in_service,2014.0,Metro RLIS Affordable Housing
6520 SE 52ND AVE,6520 SE 52ND AVE,Portland,97206,45.4754164403005,-122.608594182341,1.0,1.0,,in_service,1926.0,Metro RLIS Affordable Housing
5526 SE DUKE ST,5526 SE DUKE ST,Portland,97206,45.4746784604804,-122.607631567674,1.0,1.0,,in_service,1927.0,Metro RLIS Affordable Housing
APOSTOLIC FAITH CHURCH,6539 SE 56TH AVE,Portland,97206,45.4750872913653,-122.606097592469,1.0,1.0,,in_service,2003.0,Metro RLIS Affordable Housing
6607 SE 56TH AVE,6607 SE 56TH AVE,Portland,97206,45.4748375369293,-122.606096175351,1.0,1.0,,in_service,2004.0,Metro RLIS Affordable Housing
ROSEMONT TOWNHOMES,645 N SARATOGA ST,Portland,97217,45.5728336344537,-122.673263942103,18.0,18.0,,in_service,2001.0,Metro RLIS Affordable Housing
PARK 132 APARTMENTS,13130 SE POWELL BLVD,Portland,97236,45.4970133848818,-122.527769261146,20.0,19.0,19.0,in_service,1971.0,Metro RLIS Affordable Housing
POWELL PLAZA,13320 SE POWELL BLVD,Portland,97236,45.4968802136082,-122.526272123262,67.0,67.0,,in_service,1969.0,Metro RLIS Affordable Housing
2130 NE 88TH AVE,2130 NE 88TH AVE,Portland,97220,45.5376963798032,-122.572124475325,1.0,1.0,,in_service,1911.0,Metro RLIS Affordable Housing
2005 NE DEKUM ST,2005 NE DEKUM ST,Portland,97211,45.5720732693443,-122.645057848032,1.0,1.0,,in_service,1942.0,Metro RLIS Affordable Housing
1313 NE KILLINGSWORTH ST,1313 NE KILLINGSWORTH ST,Portland,97211,45.5629406608911,-122.651674577722,1.0,1.0,,in_service,1923.0,Metro RLIS Affordable Housing
1522 NE BRYANT ST BIG11,1522 NE BRYANT ST,Portland,97211,45.5730230420892,-122.649501935581,1.0,1.0,,in_service,1963.0,Metro RLIS Affordable Housing
6344 NE 10TH AVE,6344 NE 10TH AVE,Portland,97211,45.568960691666,-122.65455724682,1.0,1.0,,in_service,1950.0,Metro RLIS Affordable Housing
1114 NE LENORE ST,1114 NE LENORE ST,Portland,97211,45.5696914120488,-122.65357072592,1.0,1.0,,in_service,1950.0,Metro RLIS Affordable Housing
7246 NE 9TH AVE,7246 NE 9TH AVE,Portland,97211,45.5757773307856,-122.655279034706,1.0,1.0,,in_service,1910.0,Metro RLIS Affordable Housing
6941 NE 13TH AVE,6941 NE 13TH AVE,Portland,97211,45.5730011167954,-122.652314398983,1.0,1.0,,in_service,1980.0,Metro RLIS Affordable Housing
12748 NE HALSEY ST,12748 NE HALSEY ST,Portland,97230,45.5332750002097,-122.531426458066,1.0,1.0,,in_service,1952.0,Metro RLIS Affordable Housing
5026 N TRENTON ST,5026 N TRENTON ST,Portland,97203,45.5884585438506,-122.719051223904,1.0,1.0,1.0,in_service,1929.0,Metro RLIS Affordable Housing
5835 N KERBY AVE,5835 N KERBY AVE,Portland,97217,45.5653849826045,-122.673199929967,1.0,1.0,1.0,in_service,1910.0,Metro RLIS Affordable Housing
727 NE EMERSON ST,727 NE EMERSON ST,Portland,97211,45.5619437313216,-122.658232074729,1.0,1.0,1.0,in_service,1910.0,Metro RLIS Affordable Housing
629 NE EMERSON ST,629 NE EMERSON ST,Portland,97211,45.5619449919542,-122.659012654677,1.0,1.0,,in_service,1912.0,Metro RLIS Affordable Housing
3170 N ARLINGTON PL,3170 N ARLINGTON PL,Portland,97217,45.5831133712462,-122.699450735059,1.0,1.0,,in_service,1946.0,Metro RLIS Affordable Housing
4415 NE 20TH AVE,4415 NE 20TH AVE,Portland,97211,45.5552384457263,-122.645062947859,1.0,1.0,1.0,in_service,1908.0,Metro RLIS Affordable Housing
4531 NE 19TH AVE,4531 NE 19TH AVE,Portland,97211,45.55592224317,-122.646113796377,1.0,1.0,,in_service,1904.0,Metro RLIS Affordable Housing
4744 NE 14TH PL,4744 NE 14TH PL,Portland,97211,45.5575669042257,-122.65039414346,1.0,1.0,,in_service,1909.0,Metro RLIS Affordable Housing
4914 NE 18TH AVE,4914 NE 18TH AVE,Portland,97211,45.5585114830463,-122.646483709568,1.0,1.0,,in_service,1909.0,Metro RLIS Affordable Housing
5116 NE 21ST AVE,5116 NE 21ST AVE,Portland,97211,45.5598982670424,-122.64354543662,1.0,1.0,,in_service,1911.0,Metro RLIS Affordable Housing
5116 NE 20TH AVE,5116 NE 20TH AVE,Portland,97211,45.5599020210386,-122.644521204901,1.0,1.0,,in_service,1908.0,Metro RLIS Affordable Housing
5027 NE 20TH AVE,5027 NE 20TH AVE,Portland,97211,45.5594931069526,-122.645109907102,1.0,1.0,1.0,in_service,1917.0,Metro RLIS Affordable Housing
5125 NE 14TH PL,5125 NE 14TH PL,Portland,97211,45.5600635688076,-122.650970605758,1.0,1.0,,in_service,1911.0,Metro RLIS Affordable Housing
5214 NE 16TH AVE,5214 NE 16TH AVE,Portland,97211,45.560602215466,-122.648419016898,1.0,1.0,,in_service,1922.0,Metro RLIS Affordable Housing
5224 NE 17TH AVE,5224 NE 17TH AVE,Portland,97211,45.5607355852186,-122.64744217549,1.0,1.0,,in_service,1923.0,Metro RLIS Affordable Housing
5305 NE 19TH AVE,5305 NE 19TH AVE,Portland,97211,45.5617141302652,-122.645970691646,1.0,1.0,,in_service,1926.0,Metro RLIS Affordable Housing
8724 N WAYLAND AVE,8724 N WAYLAND AVE,Portland,97203,45.5857689355498,-122.710995121746,1.0,1.0,,in_service,1944.0,Metro RLIS Affordable Housing
4414 N WILLIS BLVD,4414 N WILLIS BLVD,Portland,97203,45.5838239093474,-122.712794163977,1.0,1.0,,in_service,1943.0,Metro RLIS Affordable Housing
711 N STAFFORD ST,711 N STAFFORD ST,Portland,97217,45.576693578774,-122.673961168443,1.0,1.0,,in_service,1912.0,Metro RLIS Affordable Housing
725 N LOMBARD ST,725 N LOMBARD ST,Portland,97217,45.5774613663103,-122.674189923848,1.0,1.0,,in_service,1923.0,Metro RLIS Affordable Housing
1014 NE EMERSON ST BIG 11,1014 NE EMERSON ST,Portland,97211,45.5616343040961,-122.654700705215,1.0,1.0,,in_service,1909.0,Metro RLIS Affordable Housing
5262 NE 8TH AVE,5262 NE 8TH AVE,Portland,97211,45.561578329721,-122.657698787511,1.0,1.0,,in_service,1907.0,Metro RLIS Affordable Housing
7724 N FESSENDEN ST,7724 N FESSENDEN ST,Portland,97203,45.5950366804864,-122.742823195899,1.0,1.0,,in_service,1923.0,Metro RLIS Affordable Housing
6908 NE GARFIELD AVE,6908 NE GARFIELD AVE,Portland,97211,45.572660173549,-122.662061673459,1.0,1.0,,in_service,1909.0,Metro RLIS Affordable Housing
3119 NE 111TH DR,3119 NE 111TH DR,Portland,97220,45.5449369115044,-122.547940374334,1.0,1.0,,in_service,1949.0,Metro RLIS Affordable Housing
5807 NE 15TH AVE,5807 NE 15TH AVE,Portland,97211,45.5646774159759,-122.650353476228,1.0,1.0,,in_service,1940.0,Metro RLIS Affordable Housing
5600 NE 17TH AVE,5600 NE 17TH AVE,Portland,97211,45.563402479566,-122.64771138049,1.0,1.0,,in_service,1908.0,Metro RLIS Affordable Housing
5714 NE 16TH AVE,5714 NE 16TH AVE,Portland,97211,45.5640932249519,-122.648719516291,1.0,1.0,,in_service,1924.0,Metro RLIS Affordable Housing
5707 NE 16TH AVE,5707 NE 16TH AVE,Portland,97211,45.5639592417219,-122.649345598123,1.0,1.0,,in_service,1913.0,Metro RLIS Affordable Housing
8826 N HARTMAN ST,8826 N HARTMAN ST,Portland,97203,45.5980392561721,-122.750326160905,1.0,1.0,,in_service,1954.0,Metro RLIS Affordable Housing
9120 N WINDLE ST,9120 N WINDLE ST,Portland,97203,45.5956369494751,-122.753027471841,1.0,1.0,,in_service,1907.0,Metro RLIS Affordable Housing
4315 NE 13TH AVE,4315 NE 13TH AVE,Portland,97211,45.5547831201277,-122.653009306924,1.0,1.0,,in_service,1914.0,Metro RLIS Affordable Housing
4027 NE 12TH AVE,4027 NE 12TH AVE,Portland,97212,45.5524701246784,-122.653934151152,1.0,1.0,,in_service,1903.0,Metro RLIS Affordable Housing
3927 NE 13TH AVE,3927 NE 13TH AVE,Portland,97212,45.5512271498337,-122.652949959363,1.0,1.0,,in_service,1904.0,Metro RLIS Affordable Housing
3946 NE 10TH AVE,3946 NE 10TH AVE,Portland,97212,45.5514801973872,-122.655378939463,1.0,1.0,,in_service,1909.0,Metro RLIS Affordable Housing
3935 NE 7TH AVE,3935 NE 7TH AVE,Portland,97212,45.551351864162,-122.658893380219,1.0,1.0,1.0,in_service,1941.0,Metro RLIS Affordable Housing
5903 N MICHIGAN AVE,5903 N MICHIGAN AVE,Portland,97217,45.5656479282333,-122.677127979327,1.0,1.0,1.0,in_service,1910.0,Metro RLIS Affordable Housing
5817 N MICHIGAN AVE,5817 N MICHIGAN AVE,Portland,97217,45.5650942062534,-122.677230942047,1.0,1.0,1.0,in_service,1911.0,Metro RLIS Affordable Housing
6717 NE CLEVELAND AVE,6717 NE CLEVELAND AVE,Portland,97211,45.5714717869788,-122.66608092251,1.0,1.0,1.0,in_service,1919.0,Metro RLIS Affordable Housing
6623 NE CLEVELAND AVE,6623 NE CLEVELAND AVE,Portland,97211,45.5710684577909,-122.666027903584,1.0,1.0,1.0,in_service,1928.0,Metro RLIS Affordable Housing
102 N GOING ST,102 N GOING ST,Portland,97217,45.5561709244325,-122.667451183581,1.0,1.0,1.0,in_service,1885.0,Metro RLIS Affordable Housing
4840 N WILLIAMS AVE,4840 N WILLIAMS AVE,Portland,97217,45.558302734198,-122.666357553428,1.0,1.0,1.0,in_service,1905.0,Metro RLIS Affordable Housing
4838 N WILLIAMS AVE,4838 N WILLIAMS AVE,Portland,97217,45.5582341755167,-122.666358762009,1.0,1.0,1.0,in_service,1903.0,Metro RLIS Affordable Housing
614 N ALBERTA ST,614 N ALBERTA ST,Portland,97217,45.5587941036643,-122.673341102092,1.0,1.0,1.0,in_service,1929.0,Metro RLIS Affordable Housing
916 N WEBSTER ST,916 N WEBSTER ST,Portland,97217,45.5594933740416,-122.676408933806,1.0,1.0,1.0,in_service,1925.0,Metro RLIS Affordable Housing
1035 N ALBERTA ST,1035 N ALBERTA ST,Portland,97217,45.5592139688349,-122.677817012234,1.0,1.0,,in_service,1895.0,Metro RLIS Affordable Housing
4816 NE 7TH AVE,4816 NE 7TH AVE,Portland,97211,45.5575864182199,-122.658236465141,1.0,1.0,1.0,in_service,1912.0,Metro RLIS Affordable Housing
1525 NE BRYANT ST,1525 NE BRYANT ST,Portland,97211,45.5734686763719,-122.64950096916,1.0,1.0,1.0,in_service,1955.0,Metro RLIS Affordable Housing
1513 NE BRYANT ST,1513 NE BRYANT ST,Portland,97211,45.5734685388665,-122.649684494475,1.0,1.0,1.0,in_service,1915.0,Metro RLIS Affordable Housing
163 NE LOMBARD ST,163 NE LOMBARD ST,Portland,97211,45.577456352744,-122.663718466999,1.0,1.0,1.0,in_service,1954.0,Metro RLIS Affordable Housing
7055 NE CLEVELAND AVE,7055 NE CLEVELAND AVE,Portland,97211,45.5741526451536,-122.666096330541,1.0,1.0,1.0,in_service,1923.0,Metro RLIS Affordable Housing
4027 NE 10TH AVE,4027 NE 10TH AVE,Portland,97212,45.5524609325382,-122.655954160871,1.0,1.0,1.0,in_service,1902.0,Metro RLIS Affordable Housing
KAFOURY COURT,4066 NE GRAND AVE,Portland,97212,45.5531584042078,-122.660228558911,5.0,5.0,,in_service,1950.0,Metro RLIS Affordable Housing
4207 NE 10TH AVE,4207 NE 10TH AVE,Portland,97211,45.5539853679386,-122.65586961563,1.0,1.0,1.0,in_service,1909.0,Metro RLIS Affordable Housing
3523 NE 6TH AVE,3523 NE 6TH AVE,Portland,97212,45.5486691266068,-122.659891680499,1.0,1.0,,in_service,1890.0,Metro RLIS Affordable Housing
836 NE BEECH ST,836 NE BEECH ST,Portland,97212,45.5493423129429,-122.656851705378,1.0,1.0,,in_service,1927.0,Metro RLIS Affordable Housing
3824 NE 7TH AVE,3824 NE 7TH AVE,Portland,97212,45.5504479348337,-122.658315415492,1.0,1.0,1.0,in_service,1901.0,Metro RLIS Affordable Housing
3810 SE 62ND AVE,3810 SE 62ND AVE,Portland,97206,45.4949328656232,-122.599099997687,1.0,1.0,,in_service,2014.0,Metro RLIS Affordable Housing
6602 N HAIGHT AVE,6602 N HAIGHT AVE,Portland,97217,45.5707711783863,-122.669523021362,1.0,1.0,,in_service,1947.0,Metro RLIS Affordable Housing
5731 NE SIMPSON ST,5731 NE SIMPSON ST,Portland,97218,45.5654544472055,-122.603330622471,1.0,1.0,1.0,in_service,1942.0,Metro RLIS Affordable Housing
2311 N WATTS ST,2311 N WATTS ST,Portland,97217,45.5811915788517,-122.690430458455,1.0,1.0,,in_service,1912.0,Metro RLIS Affordable Housing
2230 N SCHOFIELD ST,2230 N SCHOFIELD ST,Portland,97217,45.5814652304979,-122.689721403504,1.0,1.0,,in_service,1928.0,Metro RLIS Affordable Housing
8242 NE EUGENE ST,8242 NE EUGENE ST,Portland,97220,45.5377826790638,-122.577942542217,1.0,1.0,,in_service,1913.0,Metro RLIS Affordable Housing
5622 NE 32ND AVE,5622 NE 32ND AVE,Portland,97211,45.5636794020116,-122.632467950253,1.0,1.0,,in_service,1915.0,Metro RLIS Affordable Housing
4326 NE 15TH AVE,4326 NE 15TH AVE,Portland,97211,45.5547917006725,-122.650020294223,1.0,1.0,,in_service,1907.0,Metro RLIS Affordable Housing
5123 NE 28TH AVE,5123 NE 28TH AVE,Portland,97211,45.5599998180585,-122.637117170624,3.0,3.0,,in_service,1973.0,Metro RLIS Affordable Housing
5028 NE 26TH AVE,5028 NE 26TH AVE,Portland,97211,45.5595086778394,-122.638590295662,1.0,1.0,1.0,in_service,1906.0,Metro RLIS Affordable Housing
5315 NE 27TH AVE,5315 NE 27TH AVE,Portland,97211,45.5617810525665,-122.638142694632,1.0,1.0,,in_service,1922.0,Metro RLIS Affordable Housing
329 NE HOLMAN ST,329 NE HOLMAN ST,Portland,97211,45.5678437207999,-122.66177284436,1.0,1.0,,in_service,1929.0,Metro RLIS Affordable Housing
9131 N LOMBARD ST,9131 N LOMBARD ST,Portland,97203,45.5934240632924,-122.757672470418,1.0,1.0,,in_service,1980.0,Metro RLIS Affordable Housing
5634 NE 13TH AVE,5634 NE 13TH AVE,Portland,97211,45.5638596001592,-122.651764383393,1.0,1.0,,in_service,1922.0,Metro RLIS Affordable Housing
5732 NE 11TH AVE,5732 NE 11TH AVE,Portland,97211,45.5644114210719,-122.653778127438,1.0,1.0,,in_service,1927.0,Metro RLIS Affordable Housing
1204 NE AINSWORTH ST,1204 NE AINSWORTH ST,Portland,97211,45.566094905706,-122.652853491176,1.0,1.0,,in_service,1927.0,Metro RLIS Affordable Housing
1134 NE AINSWORTH ST,1134 NE AINSWORTH ST,Portland,97211,45.5660956160029,-122.653281505228,1.0,1.0,,in_service,1930.0,Metro RLIS Affordable Housing
6226 NE 18TH AVE,6226 NE 18TH AVE,Portland,97211,45.5678922955843,-122.646691177083,1.0,1.0,,in_service,1912.0,Metro RLIS Affordable Housing
6126 NE 16TH AVE,6126 NE 16TH AVE,Portland,97211,45.5673556866541,-122.648582657486,1.0,1.0,,in_service,1916.0,Metro RLIS Affordable Housing
6216 NE 10TH AVE BIG 11,6216 NE 10TH AVE,Portland,97211,45.567775781634,-122.654658142901,1.0,1.0,,in_service,2007.0,Metro RLIS Affordable Housing
4623 NE 10TH AVE,4623 NE 10TH AVE,Portland,97211,45.5567404601735,-122.655907742027,1.0,1.0,,in_service,1982.0,Metro RLIS Affordable Housing
723 NE GOING ST,723 NE GOING ST,Portland,97211,45.5565900509691,-122.657962719882,1.0,1.0,1.0,in_service,1941.0,Metro RLIS Affordable Housing
735 NE 79TH AVE,735 NE 79TH AVE,Portland,97213,45.5282383141747,-122.582598071938,1.0,1.0,,in_service,1910.0,Metro RLIS Affordable Housing
3426 NE 73RD AVE,3426 NE 73RD AVE,Portland,97213,45.5476387776306,-122.587564393783,1.0,1.0,,in_service,1914.0,Metro RLIS Affordable Housing
6345 NE 36TH AVE,6345 NE 36TH AVE,Portland,97211,45.5690160189078,-122.626890324652,1.0,1.0,1.0,in_service,1947.0,Metro RLIS Affordable Housing
4804 N KERBY AVE,4804 N KERBY AVE,Portland,97217,45.5577455117087,-122.672577598343,1.0,1.0,,in_service,1923.0,Metro RLIS Affordable Housing
415 N MORGAN ST,415 N MORGAN ST,Portland,97217,45.5746368192184,-122.670130253126,1.0,1.0,,in_service,1929.0,Metro RLIS Affordable Housing
5215 NE 32ND AVE,5215 NE 32ND AVE,Portland,97211,45.5605517586563,-122.633066739004,1.0,1.0,,in_service,1918.0,Metro RLIS Affordable Housing
5234 NE 30TH AVE,5234 NE 30TH AVE,Portland,97211,45.5608169249803,-122.634549771984,1.0,1.0,1.0,in_service,1937.0,Metro RLIS Affordable Housing
1415 N WINCHELL ST,1415 N WINCHELL ST,Portland,97217,45.5808893817018,-122.681361717659,1.0,1.0,1.0,in_service,1948.0,Metro RLIS Affordable Housing
7828 N MISSISSIPPI AVE,7828 N MISSISSIPPI AVE,Portland,97217,45.5804093196824,-122.676014383484,1.0,1.0,1.0,in_service,1912.0,Metro RLIS Affordable Housing
2824 N FARRAGUT ST,2824 N FARRAGUT ST,Portland,97217,45.5789412689793,-122.696112674826,1.0,1.0,1.0,in_service,1911.0,Metro RLIS Affordable Housing
4619 NE 28TH AVE,4619 NE 28TH AVE,Portland,97211,45.5566565385244,-122.637167582334,1.0,1.0,1.0,in_service,1914.0,Metro RLIS Affordable Housing
4719 NE 33RD AVE,4719 NE 33RD AVE,Portland,97211,45.5572855301488,-122.630962690177,1.0,1.0,1.0,in_service,1914.0,Metro RLIS Affordable Housing
7041 NE GRAND AVE,7041 NE GRAND AVE,Portland,97211,45.5738787907851,-122.660634663489,1.0,1.0,1.0,in_service,1919.0,Metro RLIS Affordable Housing
7027 NE GRAND AVE,7027 NE GRAND AVE,Portland,97211,45.573707356655,-122.660635361221,1.0,1.0,1.0,in_service,1924.0,Metro RLIS Affordable Housing
7028 NE 6TH AVE,7028 NE 6TH AVE,Portland,97211,45.5736723564414,-122.659016188741,1.0,1.0,1.0,in_service,1950.0,Metro RLIS Affordable Housing
7017 NE 7TH PL,7017 NE 7TH PL,Portland,97211,45.5735578996323,-122.657711758445,1.0,1.0,1.0,in_service,1953.0,Metro RLIS Affordable Housing
7074 NE 7TH AVE,7074 NE 7TH AVE,Portland,97211,45.5742477635941,-122.658049008499,1.0,1.0,1.0,in_service,1925.0,Metro RLIS Affordable Housing
723 NE BUFFALO ST,723 NE BUFFALO ST,Portland,97211,45.5753170371272,-122.657550015581,1.0,1.0,1.0,in_service,1919.0,Metro RLIS Affordable Housing
6934 N ALBINA AVE,6934 N ALBINA AVE,Portland,97217,45.5731274296703,-122.674469711607,1.0,1.0,1.0,in_service,1924.0,Metro RLIS Affordable Housing
6822 N ALBINA AVE,6822 N ALBINA AVE,Portland,97217,45.5721332244479,-122.674481135635,1.0,1.0,1.0,in_service,1913.0,Metro RLIS Affordable Housing
1415 NE JUNIOR ST,1415 NE JUNIOR ST,Portland,97211,45.5713369172761,-122.650616535341,1.0,1.0,1.0,in_service,1917.0,Metro RLIS Affordable Housing
1334 NE JUNIOR ST,1334 NE JUNIOR ST,Portland,97211,45.5709651159362,-122.651014917613,1.0,1.0,1.0,in_service,1914.0,Metro RLIS Affordable Housing
1505 NE HIGHLAND ST,1505 NE HIGHLAND ST,Portland,97211,45.5693205165008,-122.649852745642,1.0,1.0,1.0,in_service,1924.0,Metro RLIS Affordable Housing
1714 NE HIGHLAND ST,1714 NE HIGHLAND ST,Portland,97211,45.5689105463087,-122.647970098604,1.0,1.0,1.0,in_service,2015.0,Metro RLIS Affordable Housing
1744 NE HIGHLAND ST,1744 NE HIGHLAND ST,Portland,97211,45.5689109490281,-122.647396129332,1.0,1.0,1.0,in_service,1928.0,Metro RLIS Affordable Housing
1756 NE HIGHLAND ST,1756 NE HIGHLAND ST,Portland,97211,45.5689110820557,-122.647200899967,1.0,1.0,1.0,in_service,1953.0,Metro RLIS Affordable Housing
1805 NE DEKUM ST,1805-1819 NE DEKUM ST,Portland,97211,45.5720733916603,-122.646326243333,4.0,4.0,4.0,in_service,1945.0,Metro RLIS Affordable Housing
9632 N CLARENDON AVE,9632 N CLARENDON AVE,Portland,97203,45.5924984254246,-122.72380489533,1.0,1.0,1.0,in_service,1912.0,Metro RLIS Affordable Housing
827 NE KILLINGSWORTH ST,827 NE KILLINGSWORTH ST,Portland,97211,45.5629125519666,-122.657323086251,1.0,1.0,1.0,in_service,1908.0,Metro RLIS Affordable Housing
5503 NE 9TH AVE,5503 NE 9TH AVE,Portland,97211,45.5628731272734,-122.656427889905,1.0,1.0,1.0,in_service,1903.0,Metro RLIS Affordable Housing
834 NE AINSWORTH ST,834 NE AINSWORTH ST,Portland,97211,45.5660754915958,-122.657060564311,1.0,1.0,1.0,in_service,1924.0,Metro RLIS Affordable Housing
4745 N BORTHWICK AVE,4745 N BORTHWICK AVE,Portland,97217,45.5575887485722,-122.674218665129,1.0,1.0,1.0,in_service,1923.0,Metro RLIS Affordable Housing
4715 N KERBY AVE,4715 N KERBY AVE,Portland,97217,45.5571673197447,-122.673207440504,1.0,1.0,1.0,in_service,1924.0,Metro RLIS Affordable Housing
417 N BLANDENA ST,417 N BLANDENA ST,Portland,97217,45.5570222348325,-122.670492896753,1.0,1.0,,in_service,1907.0,Metro RLIS Affordable Housing
3534 N BORTHWICK AVE,3534 N BORTHWICK AVE,Portland,97227,45.5486976068282,-122.673090143069,1.0,1.0,1.0,in_service,1904.0,Metro RLIS Affordable Housing
3825 N BORTHWICK AVE,3825 N BORTHWICK AVE,Portland,97227,45.5505099656955,-122.673722022083,1.0,1.0,1.0,in_service,1972.0,Metro RLIS Affordable Housing
3933 N VANCOUVER AVE,3933 N VANCOUVER AVE,Portland,97227,45.5513171836774,-122.668143774687,1.0,1.0,1.0,in_service,1900.0,Metro RLIS Affordable Housing
4426 N BORTHWICK AVE,4426 N BORTHWICK AVE,Portland,97217,45.5554005381958,-122.673048587179,1.0,1.0,,in_service,1900.0,Metro RLIS Affordable Housing
4414 N BORTHWICK AVE,4414 N BORTHWICK AVE,Portland,97217,45.5552798977644,-122.673050176325,1.0,1.0,1.0,in_service,1972.0,Metro RLIS Affordable Housing
5334 NE 9TH AVE,5334 NE 9TH AVE,Portland,97211,45.5623031594579,-122.655810866968,1.0,1.0,,in_service,1912.0,Metro RLIS Affordable Housing
