area_id,area_name,geography,year,total_population,households,employment,age_breakdown,source
hillsboro,Hillsboro,jurisdiction,2045,128270,55409,102430,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
johnson_city,Johnson City,jurisdiction,2020,572,285,317,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
johnson_city,Johnson City,jurisdiction,2030,589,307,314,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
johnson_city,Johnson City,jurisdiction,2045,848,486,340,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
king_city,King City,jurisdiction,2020,4718,2442,708,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
king_city,King City,jurisdiction,2030,6961,3730,879,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
king_city,King City,jurisdiction,2045,8985,4990,1108,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
lake_oswego,Lake Oswego,jurisdiction,2020,40035,17257,21525,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
lake_oswego,Lake Oswego,jurisdiction,2030,41947,18909,21441,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
lake_oswego,Lake Oswego,jurisdiction,2045,42133,19486,23825,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
maywood_park,Maywood Park,jurisdiction,2020,764,356,222,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
maywood_park,Maywood Park,jurisdiction,2030,730,356,235,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
maywood_park,Maywood Park,jurisdiction,2045,724,355,251,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
milwaukie,Milwaukie,jurisdiction,2020,20594,9141,13273,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
milwaukie,Milwaukie,jurisdiction,2030,22859,10611,13742,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
milwaukie,Milwaukie,jurisdiction,2045,23268,11328,15221,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
molalla,Molalla,jurisdiction,2020,10088,3363,3883,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
molalla,Molalla,jurisdiction,2030,14035,4893,3944,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
molalla,Molalla,jurisdiction,2045,14160,5443,4020,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
north_plains,North Plains,jurisdiction,2020,3480,1031,794,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
north_plains,North Plains,jurisdiction,2030,5194,1593,860,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
north_plains,North Plains,jurisdiction,2045,5860,1862,897,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
oregon_city,Oregon City,jurisdiction,2020,36457,13557,17122,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
oregon_city,Oregon City,jurisdiction,2030,42665,16591,18675,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
oregon_city,Oregon City,jurisdiction,2045,49009,21010,21749,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
portland,Portland,jurisdiction,2020,668429,280708,480904,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
portland,Portland,jurisdiction,2030,708370,311084,502913,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
portland,Portland,jurisdiction,2045,774219,359541,565382,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
rivergrove,Rivergrove,jurisdiction,2020,509,185,135,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
rivergrove,Rivergrove,jurisdiction,2030,483,184,133,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
rivergrove,Rivergrove,jurisdiction,2045,449,188,141,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
sandy,Sandy,jurisdiction,2020,11127,4026,3193,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
sandy,Sandy,jurisdiction,2030,17621,6667,3297,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
sandy,Sandy,jurisdiction,2045,18451,7696,3675,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
sherwood,Sherwood,jurisdiction,2020,19747,6567,6646,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
sherwood,Sherwood,jurisdiction,2030,20118,6926,7051,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
sherwood,Sherwood,jurisdiction,2045,20662,7372,8013,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
tigard,Tigard,jurisdiction,2020,54591,21617,45109,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
tigard,Tigard,jurisdiction,2030,63813,26160,46005,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
tigard,Tigard,jurisdiction,2045,71611,30423,52368,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
troutdale,Troutdale,jurisdiction,2020,16292,5880,7448,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
troutdale,Troutdale,jurisdiction,2030,17385,6561,8291,no,"Metro Ord. 21-1457 Exhibit A (2045 Distributed Forecast, adopted 2021)"
